"Designator","Val","Package","Mid X","Mid Y","Rotation","Layer"
"C1","10uF/25V","CP_Elec_4x5.3","137.200000","-111.500000","0.000000","top"
"C2","100nF","C_0805_2012Metric","131.000000","-111.500000","0.000000","top"
"C3","10uF/25V","CP_Elec_4x5.3","113.500000","-111.500000","0.000000","top"
"C4","100nF","C_0805_2012Metric","119.000000","-111.500000","0.000000","top"
"C5","100nF","C_0805_2012Metric","131.500000","-121.000000","0.000000","top"
"C6","100nF","C_0805_2012Metric","132.500000","-131.000000","0.000000","top"
"C7","100nF","C_0805_2012Metric","120.000000","-131.000000","0.000000","top"
"C8","10uF/25V","CP_Elec_4x5.3","114.500000","-131.000000","0.000000","top"
"J1","SPI+Power","PinHeader_2x05_P2.54mm_Vertical","105.500000","-112.000000","0.000000","top"
"J2","GND+DAC A-D","PinHeader_1x05_P2.54mm_Vertical","145.500000","-114.000000","0.000000","top"
"R1","10k","R_0805_2012Metric","119.000000","-124.500000","0.000000","top"
"R2","100R","R_0805_2012Metric","139.500000","-116.000000","180.000000","top"
"R3","100R","R_0805_2012Metric","139.500000","-119.000000","180.000000","top"
"R4","100R","R_0805_2012Metric","139.500000","-122.000000","180.000000","top"
"R5","100R","R_0805_2012Metric","139.500000","-125.000000","180.000000","top"
"U1","AD5754BREZ","HTSSOP-24-1EP_4.4x7.8mm_P0.65mm_EP3.2x5mm","125.000000","-118.000000","0.000000","top"
"U2","ADR421","SOIC-8_3.9x4.9mm_P1.27mm","126.000000","-131.000000","0.000000","top"
