"Comment","Designator","Footprint","Qty","LCSC Part #"
"100n","C1,C3-C5","Capacitor_SMD:C_0805_2012Metric","4",""
"10u","C2","Capacitor_SMD:CP_Elec_4x5.3","1",""
"1u","C6,C7","Capacitor_SMD:C_0805_2012Metric","2",""
"10u","C8,C9","Capacitor_SMD:C_0805_2012Metric","2",""
"BUS","J1","Connector_PinHeader_2.54mm:PinHeader_2x10_P2.54mm_Horizontal","1",""
"CV IN","J2","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Horizontal","1",""
"RANGE","JP1","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"1k","R1-R8","Resistor_SMD:R_0805_2012Metric","8",""
"100k","R9","Resistor_SMD:R_0805_2012Metric","1",""
"AD7606BSTZ","U1","Package_QFP:LQFP-64_10x10mm_P0.5mm","1",""
"AMS1117-5.0","U2","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1",""
