Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0805_2012Metric",135.200000,-168.000000,90.000000,top
"C2","10u","CP_Elec_4x5.3",134.000000,-148.000000,180.000000,top
"C3","100n","C_0805_2012Metric",114.250000,-127.900000,90.000000,top
"C4","100n","C_0805_2012Metric",129.500000,-129.400000,90.000000,top
"C5","100n","C_0805_2012Metric",129.100000,-144.500000,0.000000,top
"C6","1u","C_0805_2012Metric",130.400000,-137.250000,0.000000,top
"C7","1u","C_0805_2012Metric",134.300000,-135.750000,0.000000,top
"C8","10u","C_0805_2012Metric",130.400000,-134.250000,0.000000,top
"C9","10u","C_0805_2012Metric",134.300000,-133.000000,0.000000,top
"J1","BUS","PinHeader_2x10_P2.54mm_Horizontal",131.430000,-173.420000,-90.000000,top
"J2","CV IN","PinHeader_1x10_P2.54mm_Horizontal",108.570000,-106.580000,90.000000,top
"JP1","RANGE","PinHeader_1x03_P2.54mm_Vertical",104.500000,-160.000000,0.000000,top
"R1","1k","R_0805_2012Metric",111.110000,-111.800000,90.000000,top
"R2","1k","R_0805_2012Metric",113.650000,-111.800000,90.000000,top
"R3","1k","R_0805_2012Metric",116.190000,-111.800000,90.000000,top
"R4","1k","R_0805_2012Metric",118.730000,-111.800000,90.000000,top
"R5","1k","R_0805_2012Metric",121.270000,-111.800000,90.000000,top
"R6","1k","R_0805_2012Metric",123.810000,-111.800000,90.000000,top
"R7","1k","R_0805_2012Metric",126.350000,-111.800000,90.000000,top
"R8","1k","R_0805_2012Metric",128.890000,-111.800000,90.000000,top
"R9","100k","R_0805_2012Metric",105.400000,-172.500000,90.000000,top
"U1","AD7606BSTZ","LQFP-64_10x10mm_P0.5mm",120.000000,-135.000000,0.000000,top
"U2","AMS1117-5.0","SOT-223-3_TabPin2",133.000000,-160.000000,0.000000,top
