"Designator","Val","Package","Mid X","Mid Y","Rotation","Layer"
"C1","10u","CP_Elec_4x5.3","145.800000","-130.000000","0.000000","top"
"C2","100n","C_0805_2012Metric","118.200000","-124.000000","90.000000","top"
"C3","10u","CP_Elec_4x5.3","144.400000","-166.500000","-90.000000","top"
"C4","100n","C_0805_2012Metric","107.300000","-124.000000","90.000000","top"
"C5","100n","C_0805_2012Metric","104.400000","-129.100000","90.000000","top"
"C6","100n","C_0805_2012Metric","126.800000","-145.200000","0.000000","top"
"C7","100n","C_0805_2012Metric","133.500000","-151.900000","-90.000000","top"
"C8","10u","CP_Elec_4x5.3","139.200000","-152.500000","-90.000000","top"
"C10","100n","C_0805_2012Metric","132.200000","-124.000000","90.000000","top"
"C12","100n","C_0805_2012Metric","122.400000","-124.000000","90.000000","top"
"C13","100n","C_0805_2012Metric","120.200000","-128.400000","90.000000","top"
"C14","10u","CP_Elec_4x5.3","145.500000","-141.000000","90.000000","top"
"J1","BUS","PinHeader_2x10_P2.54mm_Horizontal","136.430000","-173.420000","-90.000000","top"
"J2","CV OUT","PinHeader_1x10_P2.54mm_Horizontal","113.570000","-106.580000","90.000000","top"
"R1","10k","R_0805_2012Metric","114.800000","-160.400000","90.000000","top"
"R2","100R","R_0805_2012Metric","116.110000","-111.800000","-90.000000","top"
"R3","100R","R_0805_2012Metric","118.650000","-111.800000","-90.000000","top"
"R4","100R","R_0805_2012Metric","121.190000","-111.800000","-90.000000","top"
"R5","100R","R_0805_2012Metric","123.730000","-111.800000","-90.000000","top"
"R6","100R","R_0805_2012Metric","126.270000","-111.800000","-90.000000","top"
"R7","100R","R_0805_2012Metric","128.810000","-111.800000","-90.000000","top"
"R8","100R","R_0805_2012Metric","131.350000","-111.800000","-90.000000","top"
"R9","100R","R_0805_2012Metric","133.890000","-111.800000","-90.000000","top"
"U1","AD5754BREZ","HTSSOP-24-1EP_4.4x7.8mm_P0.65mm_EP3.2x5mm","113.500000","-131.000000","0.000000","top"
"U2","AD5754BREZ","HTSSOP-24-1EP_4.4x7.8mm_P0.65mm_EP3.2x5mm","127.500000","-131.000000","0.000000","top"
"U3","ADR421","SOIC-8_3.9x4.9mm_P1.27mm","126.800000","-150.000000","0.000000","top"
