Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0805_2012Metric",133.300000,-171.000000,90.000000,top
"C2","10u","CP_Elec_4x5.3",109.500000,-160.000000,180.000000,top
"C3","100n","C_0805_2012Metric",109.500000,-164.600000,180.000000,top
"J1","BUS","PinHeader_2x10_P2.54mm_Horizontal",128.930000,-173.420000,-90.000000,top
"J2","GATES OUT","PinHeader_1x10_P2.54mm_Horizontal",106.070000,-106.580000,90.000000,top
"R1","1k","R_0805_2012Metric",108.610000,-112.000000,90.000000,top
"R2","1k","R_0805_2012Metric",111.150000,-112.000000,90.000000,top
"R3","1k","R_0805_2012Metric",113.690000,-112.000000,90.000000,top
"R4","1k","R_0805_2012Metric",116.230000,-112.000000,90.000000,top
"R5","1k","R_0805_2012Metric",118.770000,-112.000000,90.000000,top
"R6","1k","R_0805_2012Metric",121.310000,-112.000000,90.000000,top
"R7","1k","R_0805_2012Metric",123.850000,-112.000000,90.000000,top
"R8","1k","R_0805_2012Metric",126.390000,-112.000000,90.000000,top
"U1","74HCT595","SOIC-16_3.9x9.9mm_P1.27mm",110.500000,-150.000000,0.000000,top
"U2","AMS1117-5.0","SOT-223-3_TabPin2",126.000000,-163.000000,0.000000,top
