"Comment","Designator","Footprint","Qty","LCSC Part #"
"100n","C1","Capacitor_SMD:C_0805_2012Metric","1",""
"10u","C2","Capacitor_SMD:CP_Elec_4x5.3","1",""
"220p","C3","Capacitor_SMD:C_0805_2012Metric","1",""
"BAT54S","D1-D8","Package_TO_SOT_SMD:SOT-23","8",""
"BUS","J1","Connector_PinHeader_2.54mm:PinHeader_2x10_P2.54mm_Horizontal","1",""
"GATES IN","J2","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Horizontal","1",""
"100k","R1-R8,R11-R18","Resistor_SMD:R_0805_2012Metric","16",""
"10k","R9","Resistor_SMD:R_0805_2012Metric","1",""
"74HC165","U1","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","1",""
"74LVC1G125","U2","Package_TO_SOT_SMD:SOT-23-5","1",""
