Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0805_2012Metric",113.600000,-132.900000,180.000000,top
"C2","10u","CP_Elec_4x5.3",135.000000,-117.200000,90.000000,top
"C3","220p","C_0805_2012Metric",110.800000,-150.500000,-90.000000,top
"D1","BAT54S","SOT-23",111.110000,-120.600000,90.000000,top
"D2","BAT54S","SOT-23",113.650000,-125.000000,90.000000,top
"D3","BAT54S","SOT-23",116.190000,-120.600000,90.000000,top
"D4","BAT54S","SOT-23",118.730000,-125.000000,90.000000,top
"D5","BAT54S","SOT-23",121.270000,-120.600000,90.000000,top
"D6","BAT54S","SOT-23",123.810000,-125.000000,90.000000,top
"D7","BAT54S","SOT-23",126.350000,-120.600000,90.000000,top
"D8","BAT54S","SOT-23",128.890000,-125.000000,90.000000,top
"J1","BUS","PinHeader_2x10_P2.54mm_Horizontal",131.430000,-173.420000,-90.000000,top
"J2","GATES IN","PinHeader_1x10_P2.54mm_Horizontal",108.570000,-106.580000,90.000000,top
"R1","100k","R_0805_2012Metric",111.110000,-111.500000,-90.000000,top
"R2","100k","R_0805_2012Metric",113.650000,-111.500000,-90.000000,top
"R3","100k","R_0805_2012Metric",116.190000,-111.500000,-90.000000,top
"R4","100k","R_0805_2012Metric",118.730000,-111.500000,-90.000000,top
"R5","100k","R_0805_2012Metric",121.270000,-111.500000,-90.000000,top
"R6","100k","R_0805_2012Metric",123.810000,-111.500000,-90.000000,top
"R7","100k","R_0805_2012Metric",126.350000,-111.500000,-90.000000,top
"R8","100k","R_0805_2012Metric",128.890000,-111.500000,-90.000000,top
"R9","10k","R_0805_2012Metric",112.900000,-145.400000,0.000000,top
"R11","100k","R_0805_2012Metric",112.380000,-115.500000,-90.000000,top
"R12","100k","R_0805_2012Metric",114.920000,-115.500000,-90.000000,top
"R13","100k","R_0805_2012Metric",117.460000,-115.500000,-90.000000,top
"R14","100k","R_0805_2012Metric",120.000000,-115.500000,-90.000000,top
"R15","100k","R_0805_2012Metric",122.540000,-115.500000,-90.000000,top
"R16","100k","R_0805_2012Metric",125.080000,-115.500000,-90.000000,top
"R17","100k","R_0805_2012Metric",127.620000,-115.500000,-90.000000,top
"R18","100k","R_0805_2012Metric",130.160000,-115.500000,-90.000000,top
"U1","74HC165","SOIC-16_3.9x9.9mm_P1.27mm",120.000000,-138.000000,90.000000,top
"U2","74LVC1G125","SOT-23-5",133.500000,-141.500000,0.000000,top
