Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0805_2012Metric",109.550000,-112.900000,-90.000000,top
"C2","100n","C_0805_2012Metric",123.050000,-112.900000,-90.000000,top
"C3","100n","C_0805_2012Metric",136.550000,-112.900000,-90.000000,top
"C4","100n","C_0805_2012Metric",150.050000,-112.900000,-90.000000,top
"C5","100n","C_0805_2012Metric",163.550000,-112.900000,-90.000000,top
"C6","100n","C_0805_2012Metric",177.050000,-112.900000,-90.000000,top
"C7","100n","C_0805_2012Metric",190.550000,-112.900000,-90.000000,top
"C8","100n","C_0805_2012Metric",204.050000,-112.900000,-90.000000,top
"C9","100n","C_0805_2012Metric",150.555000,-124.300000,90.000000,top
"C10","10u","CP_Elec_4x5.3",203.800000,-160.000000,90.000000,top
"J1","BUS","PinHeader_2x10_P2.54mm_Horizontal",166.430000,-173.420000,-90.000000,top
"RV1","10k","RK097N_Horizontal",107.750000,-109.300000,0.000000,top
"RV2","10k","RK097N_Horizontal",121.250000,-109.300000,0.000000,top
"RV3","10k","RK097N_Horizontal",134.750000,-109.300000,0.000000,top
"RV4","10k","RK097N_Horizontal",148.250000,-109.300000,0.000000,top
"RV5","10k","RK097N_Horizontal",161.750000,-109.300000,0.000000,top
"RV6","10k","RK097N_Horizontal",175.250000,-109.300000,0.000000,top
"RV7","10k","RK097N_Horizontal",188.750000,-109.300000,0.000000,top
"RV8","10k","RK097N_Horizontal",202.250000,-109.300000,0.000000,top
"U1","MCP3208","SOIC-16_3.9x9.9mm_P1.27mm",155.000000,-130.000000,90.000000,top
