"Designator","Val","Package","Mid X","Mid Y","Rotation","Layer"
"C1","10u","CP_Elec_4x5.3","95.000000","-112.000000","0.000000","top"
"C2","100n","C_0805_2012Metric","100.200000","-112.000000","0.000000","top"
"C3","10u","CP_Elec_4x5.3","107.400000","-112.000000","0.000000","top"
"C4","100n","C_0805_2012Metric","112.600000","-112.000000","0.000000","top"
"C5","10u","CP_Elec_4x5.3","119.800000","-112.000000","0.000000","top"
"C6","100n","C_0805_2012Metric","125.000000","-112.000000","0.000000","top"
"C7","10u","CP_Elec_4x5.3","132.200000","-112.000000","0.000000","top"
"C8","100n","C_0805_2012Metric","137.400000","-112.000000","0.000000","top"
"J1","SLOT 1","PinSocket_2x10_P2.54mm_Vertical","70.000000","-40.000000","0.000000","top"
"J2","SLOT 2","PinSocket_2x10_P2.54mm_Vertical","90.000000","-40.000000","0.000000","top"
"J3","SLOT 3","PinSocket_2x10_P2.54mm_Vertical","110.000000","-40.000000","0.000000","top"
"J4","SLOT 4","PinSocket_2x10_P2.54mm_Vertical","130.000000","-40.000000","0.000000","top"
"J5","SLOT 5","PinSocket_2x10_P2.54mm_Vertical","150.000000","-40.000000","0.000000","top"
"J6","SLOT 6","PinSocket_2x10_P2.54mm_Vertical","170.000000","-40.000000","0.000000","top"
"J7","HUB 1","IDC-Header_2x05_P2.54mm_Vertical","193.000000","-42.000000","0.000000","top"
"J8","HUB 2","IDC-Header_2x05_P2.54mm_Vertical","193.000000","-104.000000","0.000000","top"
"J9","PWR IN","IDC-Header_2x05_P2.54mm_Vertical","22.000000","-108.000000","0.000000","top"
"J10","EXP","PinHeader_2x07_P2.54mm_Vertical","16.600000","-27.500000","90.000000","top"
"J11","DISPLAY","PinHeader_1x09_P2.54mm_Vertical","33.000000","-20.000000","90.000000","top"
"J12","QWIIC","PinHeader_1x04_P2.54mm_Vertical","165.760000","-121.500000","90.000000","top"
"R1","33R","R_0805_2012Metric","53.000000","-73.020000","0.000000","top"
"R2","33R","R_0805_2012Metric","49.500000","-71.750000","180.000000","top"
"R3","2k2","R_0805_2012Metric","92.000000","-104.000000","0.000000","top"
"R4","2k2","R_0805_2012Metric","92.000000","-107.000000","0.000000","top"
"U1","Teensy 4.1","Teensy41_THT","30.000000","-40.000000","0.000000","top"
"U2","R-78E5.0-0.5","Converter_DCDC_RECOM_R-78E-0.5_THT","62.000000","-108.000000","0.000000","top"
"U3","AMS1117-3.3","SOT-223-3_TabPin2","80.000000","-104.000000","0.000000","top"
