"Designator","Val","Package","Mid X","Mid Y","Rotation","Layer"
"C1","100n","C_0805_2012Metric","169.500000","-111.500000","90.000000","top"
"C2","10u","CP_Elec_4x5.3","158.000000","-121.000000","90.000000","top"
"C3","100n","C_0805_2012Metric","153.500000","-114.500000","0.000000","top"
"C4","100n","C_0805_2012Metric","153.500000","-117.500000","0.000000","top"
"C5","100n","C_0805_2012Metric","131.000000","-130.500000","0.000000","top"
"C6","1u","C_0805_2012Metric","149.300000","-127.000000","0.000000","top"
"C7","1u","C_0805_2012Metric","149.300000","-124.500000","0.000000","top"
"C8","10u","C_0805_2012Metric","149.300000","-122.000000","0.000000","top"
"C9","10u","C_0805_2012Metric","149.300000","-119.500000","0.000000","top"
"C15","100n","C_0805_2012Metric","124.000000","-122.500000","0.000000","top"
"J1","BUS","PinHeader_2x12_P2.54mm_Horizontal","153.970000","-138.420000","-90.000000","top"
"J2","CV IN","PinHeader_1x10_P2.54mm_Horizontal","128.570000","-104.040000","90.000000","top"
"JP1","RANGE","PinHeader_1x03_P2.54mm_Vertical","114.000000","-112.000000","0.000000","top"
"R1","1k","R_0805_2012Metric","148.890000","-108.300000","90.000000","top"
"R2","1k","R_0805_2012Metric","146.350000","-108.300000","90.000000","top"
"R3","1k","R_0805_2012Metric","143.810000","-108.300000","90.000000","top"
"R4","1k","R_0805_2012Metric","141.270000","-108.300000","90.000000","top"
"R5","1k","R_0805_2012Metric","138.730000","-108.300000","90.000000","top"
"R6","1k","R_0805_2012Metric","136.190000","-108.300000","90.000000","top"
"R7","1k","R_0805_2012Metric","133.650000","-108.300000","90.000000","top"
"R8","1k","R_0805_2012Metric","131.110000","-108.300000","90.000000","top"
"R9","100k","R_0805_2012Metric","124.000000","-125.500000","0.000000","top"
"U1","AD7606BSTZ","LQFP-64_10x10mm_P0.5mm","140.000000","-122.500000","0.000000","top"
"U2","AMS1117-5.0","SOT-223-3_TabPin2","161.000000","-111.500000","180.000000","top"
