"Comment","Designator","Footprint","LCSC Part #"
"22u","C1,C3,C5","C_0805_2012Metric",""
"100n","C2,C4,C6,C8,C9,C11,C12","C_0805_2012Metric","C49678"
"10u","C7,C13","C_0805_2012Metric","C440198"
"1u","C10","C_0805_2012Metric","C5137478"
"18p","C14,C15","C_0805_2012Metric",""
"4u7","C16","C_0805_2012Metric",""
"10n","C17,C20","C_0805_2012Metric",""
"6n8","C18,C19","C_0805_2012Metric",""
"22n","C21","C_0805_2012Metric",""
"1n-2kV","C22","C_1206_3216Metric",""
"DIODE","D2","D_SMA",""
"LED","D4","LED_0805_2012Metric",""
"FERRIET","FB1","L_0805_2012Metric",""
"M3","H1,H2,H3,H4","MountingHole_3.2mm_M3_Pad",""
"BUSBOARD (J25+J19)","J1","PinHeader_1x06_P2.54mm_Vertical",""
"USBC16","J2","USB_C_Receptacle_HRO_TYPE-C-31-M-12",""
"MAGJACK (paneel)","J3","PinHeader_2x07_P2.54mm_Vertical",""
"DEBUG","J4","PinHeader_1x03_P2.54mm_Vertical",""
"10k","R1","R_0805_2012Metric","C17414"
"1k","R2","R_0805_2012Metric","C17513"
"12k4","R10","R_0805_2012Metric",""
"49R9","R11,R12,R14,R15","R_0805_2012Metric",""
"10R","R13","R_0805_2012Metric","C17415"
"330R","R16,R17","R_0805_2012Metric",""
"1M","R18","R_0805_2012Metric",""
"5k1","R25,R26","R_0805_2012Metric",""
"SW_TACT","SW1,SW2","SW_SPST_SKQG_WithStem",""
"ESP32-S3-WROOM-1U","U1","ESP32-S3-WROOM-1U",""
"W5500","U2","LQFP-48_7x7mm_P0.5mm",""
"AMS1117-33","U3","SOT-223-3_TabPin2",""
"XTAL4","Y1","Crystal_SMD_3225-4Pin_3.2x2.5mm",""
