"Designator","Val","Package","Mid X","Mid Y","Rotation","Layer"
"C1","22u","C_0805_2012Metric","131.500000","-132.300000","90.000000","top"
"C2","100n","C_0805_2012Metric","133.700000","-132.300000","90.000000","top"
"C3","22u","C_0805_2012Metric","117.000000","-140.500000","0.000000","top"
"C4","100n","C_0805_2012Metric","135.900000","-132.300000","90.000000","top"
"C5","22u","C_0805_2012Metric","108.500000","-110.000000","90.000000","top"
"C6","100n","C_0805_2012Metric","111.000000","-110.000000","90.000000","top"
"C7","10u","C_0805_2012Metric","143.000000","-134.000000","0.000000","top"
"C8","100n","C_0805_2012Metric","150.800000","-108.000000","90.000000","top"
"C9","100n","C_0805_2012Metric","159.000000","-111.000000","90.000000","top"
"C10","1u","C_0805_2012Metric","113.500000","-102.800000","0.000000","top"
"C11","100n","C_0805_2012Metric","153.500000","-124.000000","90.000000","top"
"C12","100n","C_0805_2012Metric","142.000000","-110.800000","90.000000","top"
"C13","10u","C_0805_2012Metric","139.500000","-108.500000","90.000000","top"
"C14","18p","C_0805_2012Metric","135.300000","-115.900000","90.000000","top"
"C15","18p","C_0805_2012Metric","135.300000","-111.500000","90.000000","top"
"C16","4u7","C_0805_2012Metric","148.300000","-108.000000","90.000000","top"
"C17","10n","C_0805_2012Metric","146.000000","-108.000000","90.000000","top"
"C18","6n8","C_0805_2012Metric","156.500000","-118.000000","90.000000","top"
"C19","6n8","C_0805_2012Metric","159.000000","-118.000000","90.000000","top"
"C20","10n","C_0805_2012Metric","161.500000","-129.500000","90.000000","top"
"C21","22n","C_0805_2012Metric","164.000000","-129.500000","90.000000","top"
"C22","1n-2kV","C_1206_3216Metric","156.500000","-137.500000","0.000000","top"
"D2","SS34","D_SMA","111.000000","-137.400000","0.000000","top"
"D4","LED-GN","LED_0805_2012Metric","136.300000","-124.000000","90.000000","top"
"FB1","FB121","L_0805_2012Metric","139.000000","-134.000000","0.000000","top"
"J1","BUSBOARD","PinHeader_1x06_P2.54mm_Vertical","134.000000","-141.500000","90.000000","top"
"J2","USB-C","USB_C_Receptacle_HRO_TYPE-C-31-M-12","105.550000","-122.000000","90.000000","top"
"J3","MAGJACK","PinHeader_2x07_P2.54mm_Vertical","164.500000","-110.500000","0.000000","top"
"J4","DEBUG","PinHeader_1x03_P2.54mm_Vertical","136.000000","-101.800000","0.000000","top"
"R1","10k","R_0805_2012Metric","110.000000","-102.800000","0.000000","top"
"R2","1k","R_0805_2012Metric","133.900000","-124.000000","90.000000","top"
"R10","12k4","R_0805_2012Metric","161.500000","-114.000000","90.000000","top"
"R11","49R9","R_0805_2012Metric","156.500000","-104.000000","90.000000","top"
"R12","49R9","R_0805_2012Metric","159.000000","-104.000000","90.000000","top"
"R13","10R","R_0805_2012Metric","156.500000","-111.000000","90.000000","top"
"R14","49R9","R_0805_2012Metric","156.500000","-125.000000","90.000000","top"
"R15","49R9","R_0805_2012Metric","159.000000","-125.000000","90.000000","top"
"R16","330R","R_0805_2012Metric","152.500000","-104.200000","0.000000","top"
"R17","330R","R_0805_2012Metric","152.500000","-102.200000","0.000000","top"
"R18","1M","R_0805_2012Metric","152.500000","-137.500000","0.000000","top"
"R25","5k1","R_0805_2012Metric","102.900000","-131.000000","0.000000","top"
"R26","5k1","R_0805_2012Metric","102.900000","-133.500000","0.000000","top"
"SW1","RESET","SW_SPST_SKQG_WithStem","114.000000","-132.000000","0.000000","top"
"SW2","BOOT","SW_SPST_SKQG_WithStem","122.500000","-130.500000","0.000000","top"
"U1","ESP32-S3-WROOM-1U-N8R2","ESP32-S3-WROOM-1U","123.000000","-116.500000","0.000000","top"
"U2","W5500","LQFP-48_7x7mm_P0.5mm","149.000000","-116.000000","180.000000","top"
"U3","AMS1117-3.3","SOT-223-3_TabPin2","127.000000","-138.000000","180.000000","top"
"Y1","25MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm","138.500000","-113.000000","0.000000","top"
