"Comment","Designator","Footprint","LCSC Part #"
"10u","C1,C3,C5,C7","CP_Elec_4x5.3","C3343"
"100n","C2,C4,C6,C8,C10,C11,C12,C13,C14,C15,C16,C17,C19","C_0805_2012Metric","C49678"
"220p","C9,C18","C_0805_2012Metric","C107145"
"1N4148WS","D1,D2","D_SOD-323","C2128"
"BAT54S","D3","SOT-23","C7420333"
"SLOT","J1,J2,J3,J4,J5,J6","PinSocket_2x12_P2.54mm_Vertical","C22373917"
"HUB/PWR IN","J7,J8,J9","IDC-Header_2x05_P2.54mm_Vertical","C5665"
"AUDIO/CODEC/AUDIOHUB/EXP","J10,J17,J24","PinHeader_2x07_P2.54mm_Vertical","C492424"
"DISPLAY","J11","PinHeader_1x09_P2.54mm_Vertical","C225484"
"CAN/DLG1 (Serial3)/DLG2 (Serial4)/QWIIC","J12,J16,J19,J20","PinHeader_1x04_P2.54mm_Vertical","C124378"
"MIDI IN/MIDI OUT","J13,J14,J15,J22","PinHeader_1x03_P2.54mm_Vertical","C49257"
"AXON PWR/TUNE","J18,J25","PinHeader_1x02_P2.54mm_Vertical","C124375"
"EXPANSION","J21","IDC-Header_2x13_P2.54mm_Vertical","C2884553"
"USB HOST","J23","PinHeader_2x05_P2.54mm_Vertical","C124387"
"33R","R1,R2,R11,R16,R17,R18,R19,R20,R35","R_0805_2012Metric","C17634"
"2k2","R3,R4","R_0805_2012Metric","C17520"
"10k","R5,R13,R33","R_0805_2012Metric","C17414"
"220R","R6,R7","R_0805_2012Metric","C17557"
"1k","R8,R9","R_0805_2012Metric","C17513"
"10R","R10,R34","R_0805_2012Metric","C17415"
"120R","R12","R_0805_2012Metric","C17437"
"100k","R14,R15,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32","R_0805_2012Metric","C149504"
"Teensy 4.1","U1","",""
"R-78E5.0-1.0","U2","Converter_DCDC_RECOM_R-78E-0.5_THT","C22371890"
"AMS1117-3.3","U3","SOT-223-3_TabPin2","C6186"
"74HC154","U4","SOIC-24W_7.5x15.4mm_P1.27mm","C2832236"
"74HC165","U5,U6","SOIC-16_3.9x9.9mm_P1.27mm","C5613"
"74LVC1G125","U7","SOT-23-5","C12518"
"74LVC245","U8","SOIC-20W_7.5x12.8mm_P1.27mm","C6080"
"H11L1","U9,U10","DIP-6_W7.62mm","C16587"
"74LVC1G17","U11,U13,U14","SOT-23-5","C19829593"
"SN65HVD230","U12","SOIC-8_3.9x4.9mm_P1.27mm","C12084"
