"Designator","Val","Package","Mid X","Mid Y","Rotation","Layer"
"C1","10u","CP_Elec_4x5.3","120.000000","-124.000000","0.000000","top"
"C2","100n","C_0805_2012Metric","128.890000","-124.000000","0.000000","top"
"C3","10u","CP_Elec_4x5.3","137.780000","-124.000000","0.000000","top"
"C4","100n","C_0805_2012Metric","146.670000","-124.000000","0.000000","top"
"C5","10u","CP_Elec_4x5.3","155.560000","-124.000000","0.000000","top"
"C6","100n","C_0805_2012Metric","164.450000","-124.000000","0.000000","top"
"C7","10u","CP_Elec_4x5.3","173.340000","-124.000000","0.000000","top"
"C8","100n","C_0805_2012Metric","182.230000","-124.000000","0.000000","top"
"C9","220p","C_0805_2012Metric","40.900000","-97.500000","0.000000","top"
"C10","100n","C_0805_2012Metric","60.000000","-27.000000","0.000000","top"
"C11","100n","C_0805_2012Metric","85.800000","-24.000000","90.000000","top"
"C12","100n","C_0805_2012Metric","58.000000","-105.000000","0.000000","top"
"C13","100n","C_0805_2012Metric","143.000000","-112.000000","0.000000","top"
"C14","100n","C_0805_2012Metric","59.000000","-16.500000","90.000000","top"
"C15","100n","C_0805_2012Metric","34.600000","-104.200000","0.000000","top"
"C16","100n","C_0805_2012Metric","152.000000","-22.800000","90.000000","top"
"C17","100n","C_0805_2012Metric","59.000000","-91.000000","0.000000","top"
"C18","220p","C_0805_2012Metric","145.000000","-12.500000","90.000000","top"
"C19","100n","C_0805_2012Metric","93.000000","-123.500000","90.000000","top"
"D1","1N4148WS","D_SOD-323","54.000000","-103.500000","0.000000","top"
"D2","1N4148WS","D_SOD-323","88.500000","-120.000000","0.000000","top"
"D3","BAT54S","SOT-23","62.000000","-16.500000","180.000000","top"
"J1","SLOT 1","PinSocket_2x12_P2.54mm_Vertical","64.530000","-60.280000","0.000000","top"
"J2","SLOT 2","PinSocket_2x12_P2.54mm_Vertical","84.850000","-60.280000","0.000000","top"
"J3","SLOT 3","PinSocket_2x12_P2.54mm_Vertical","105.170000","-60.280000","0.000000","top"
"J4","SLOT 4","PinSocket_2x12_P2.54mm_Vertical","125.490000","-60.280000","0.000000","top"
"J5","SLOT 5","PinSocket_2x12_P2.54mm_Vertical","145.810000","-60.280000","0.000000","top"
"J6","SLOT 6","PinSocket_2x12_P2.54mm_Vertical","166.130000","-60.280000","0.000000","top"
"J7","HUB 1","IDC-Header_2x05_P2.54mm_Vertical","196.000000","-45.000000","0.000000","top"
"J8","HUB 2","IDC-Header_2x05_P2.54mm_Vertical","196.000000","-100.000000","0.000000","top"
"J9","PWR IN","IDC-Header_2x05_P2.54mm_Vertical","22.000000","-121.500000","0.000000","top"
"J10","EXP","PinHeader_2x07_P2.54mm_Vertical","41.000000","-135.000000","90.000000","top"
"J11","DISPLAY","PinHeader_1x09_P2.54mm_Vertical","33.000000","-20.000000","90.000000","top"
"J12","QWIIC","PinHeader_1x04_P2.54mm_Vertical","198.000000","-135.000000","90.000000","top"
"J13","MIDI IN1","PinHeader_1x03_P2.54mm_Vertical","83.000000","-135.000000","90.000000","top"
"J14","MIDI IN2","PinHeader_1x03_P2.54mm_Vertical","92.000000","-135.000000","90.000000","top"
"J15","MIDI OUT","PinHeader_1x03_P2.54mm_Vertical","101.000000","-135.000000","90.000000","top"
"J16","CAN","PinHeader_1x04_P2.54mm_Vertical","120.000000","-135.000000","90.000000","top"
"J17","AUDIO/CODEC","PinHeader_2x07_P2.54mm_Vertical","39.350000","-13.500000","-90.000000","top"
"J18","TUNE","PinHeader_1x02_P2.54mm_Vertical","43.000000","-13.500000","90.000000","top"
"J19","DLG1","PinHeader_1x04_P2.54mm_Vertical","60.000000","-135.000000","90.000000","top"
"J20","DLG2","PinHeader_1x04_P2.54mm_Vertical","71.500000","-135.000000","90.000000","top"
"J21","EXPANSION","IDC-Header_2x13_P2.54mm_Vertical","108.000000","-22.500000","90.000000","top"
"J22","MIDI OUT2","PinHeader_1x03_P2.54mm_Vertical","110.000000","-135.000000","90.000000","top"
"J23","USB HOST","PinHeader_2x05_P2.54mm_Vertical","22.000000","-33.000000","90.000000","top"
"J24","AUDIOHUB","PinHeader_2x07_P2.54mm_Vertical","182.000000","-72.000000","0.000000","top"
"J25","AXON +5V","PinHeader_1x02_P2.54mm_Vertical","66.300000","-129.190000","180.000000","top"
"R1","33R","R_0805_2012Metric","53.000000","-78.020000","0.000000","top"
"R2","33R","R_0805_2012Metric","49.500000","-76.750000","180.000000","top"
"R3","2k2","R_0805_2012Metric","199.000000","-124.000000","0.000000","top"
"R4","2k2","R_0805_2012Metric","199.000000","-127.000000","0.000000","top"
"R5","10k","R_0805_2012Metric","34.300000","-101.200000","0.000000","top"
"R6","220R","R_0805_2012Metric","50.000000","-106.800000","90.000000","top"
