"Designator","Val","Package","Mid X","Mid Y","Rotation","Layer"
"C1","10u","CP_Elec_4x5.3","158.000000","-130.500000","90.000000","top"
"C2","100n","C_0805_2012Metric","136.900000","-115.800000","90.000000","top"
"C3","10u","CP_Elec_4x5.3","115.000000","-128.000000","90.000000","top"
"C4","100n","C_0805_2012Metric","125.200000","-115.800000","90.000000","top"
"C5","100n","C_0805_2012Metric","127.000000","-128.100000","-90.000000","top"
"C6","100n","C_0805_2012Metric","158.500000","-120.500000","0.000000","top"
"C7","100n","C_0805_2012Metric","153.500000","-112.000000","90.000000","top"
"C8","10u","CP_Elec_4x5.3","165.500000","-111.500000","90.000000","top"
"C10","100n","C_0805_2012Metric","150.900000","-115.800000","90.000000","top"
"C12","100n","C_0805_2012Metric","139.200000","-115.800000","90.000000","top"
"C13","100n","C_0805_2012Metric","141.000000","-128.100000","-90.000000","top"
"C14","10u","CP_Elec_4x5.3","165.200000","-120.500000","90.000000","top"
"J1","BUS","PinHeader_2x12_P2.54mm_Horizontal","153.970000","-138.420000","-90.000000","top"
"J2","CV OUT","PinHeader_1x10_P2.54mm_Horizontal","128.570000","-104.040000","90.000000","top"
"R1","10k","R_0805_2012Metric","155.500000","-126.000000","0.000000","top"
"R2","100R","R_0805_2012Metric","131.110000","-108.300000","-90.000000","top"
"R3","100R","R_0805_2012Metric","133.650000","-108.300000","-90.000000","top"
"R4","100R","R_0805_2012Metric","136.190000","-108.300000","-90.000000","top"
"R5","100R","R_0805_2012Metric","138.730000","-108.300000","-90.000000","top"
"R6","100R","R_0805_2012Metric","141.270000","-108.300000","-90.000000","top"
"R7","100R","R_0805_2012Metric","143.810000","-108.300000","-90.000000","top"
"R8","100R","R_0805_2012Metric","146.350000","-108.300000","-90.000000","top"
"R9","100R","R_0805_2012Metric","148.890000","-108.300000","-90.000000","top"
"U1","AD5754BREZ","HTSSOP-24-1EP_4.4x7.8mm_P0.65mm_EP3.2x5mm","131.000000","-122.000000","270.000000","top"
"U2","AD5754BREZ","HTSSOP-24-1EP_4.4x7.8mm_P0.65mm_EP3.2x5mm","145.000000","-122.000000","270.000000","top"
"U3","ADR421","SOIC-8_3.9x4.9mm_P1.27mm","158.500000","-116.000000","270.000000","top"
