"Designator","Val","Package","Mid X","Mid Y","Rotation","Layer"
"J1","Socket_1x10_backside","Socket_1x10_backside","116.500000","-143.570000","180.000000","bottom"
"J2","Header_2x08_backside","Header_2x08_backside","122.770000","-189.800000","180.000000","bottom"
"C10","100n","C_0805_2012Metric","124.000000","-114.600000","0.000000","top"
"C11","100n","C_0805_2012Metric","124.000000","-169.800000","0.000000","top"
"SW1","EC11E","RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm","105.500000","-117.100000","90.000000","top"
"SW2","EC11E","RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm","105.500000","-134.700000","90.000000","top"
"SW3","EC11E","RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm","105.500000","-152.300000","90.000000","top"
"SW4","EC11E","RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm","105.500000","-169.900000","90.000000","top"
"SW5","EC11E","RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm","105.500000","-187.500000","90.000000","top"
"SW6","6mm tact","SW_PUSH_6mm","104.750000","-191.750000","0.000000","top"
"SW7","6mm tact","SW_PUSH_6mm","104.750000","-200.750000","0.000000","top"
"U1","MCP23017-E/ML","QFN-28-1EP_6x6mm_P0.65mm_EP4.25x4.25mm","124.000000","-122.000000","0.000000","top"
"U2","MCP23017-E/ML","QFN-28-1EP_6x6mm_P0.65mm_EP4.25x4.25mm","124.000000","-176.000000","0.000000","top"
