"Comment","Designator","Footprint","LCSC Part #"
"100n","C1","C_0805_2012Metric","C49678"
"10u","C2","CP_Elec_4x5.3","C3343"
"220p","C3","C_0805_2012Metric","C107145"
"BAT54S","D1,D2,D3,D4,D5,D6,D7,D8","SOT-23","C7420333"
"BUS (slot, 2x12)","J1","PinHeader_2x12_P2.54mm_Horizontal","C2894992"
"GATES IN","J2","PinHeader_1x10_P2.54mm_Horizontal","C2687688"
"100k","R1,R2,R3,R4,R5,R6,R7,R8,R11,R12,R13,R14,R15,R16,R17,R18","R_0805_2012Metric","C149504"
"10k","R9","R_0805_2012Metric","C17414"
"74HC165","U1","SOIC-16_3.9x9.9mm_P1.27mm","C5613"
"74LVC1G125","U2","SOT-23-5","C12518"
