"Designator","Val","Package","Mid X","Mid Y","Rotation","Layer"
"C1","100n","C_0805_2012Metric","132.000000","-124.500000","0.000000","top"
"C2","10u","CP_Elec_4x5.3","158.500000","-126.500000","90.000000","top"
"C3","220p","C_0805_2012Metric","130.000000","-133.000000","0.000000","top"
"D1","BAT54S","SOT-23","131.110000","-116.800000","270.000000","top"
"D2","BAT54S","SOT-23","133.650000","-121.000000","270.000000","top"
"D3","BAT54S","SOT-23","136.190000","-116.800000","270.000000","top"
"D4","BAT54S","SOT-23","138.730000","-121.000000","270.000000","top"
"D5","BAT54S","SOT-23","141.270000","-116.800000","270.000000","top"
"D6","BAT54S","SOT-23","143.810000","-121.000000","270.000000","top"
"D7","BAT54S","SOT-23","146.350000","-116.800000","270.000000","top"
"D8","BAT54S","SOT-23","148.890000","-121.000000","270.000000","top"
"J1","BUS","PinHeader_2x12_P2.54mm_Horizontal","153.970000","-138.420000","-90.000000","top"
"J2","GATES IN","PinHeader_1x10_P2.54mm_Horizontal","128.570000","-104.040000","90.000000","top"
"R1","100k","R_0805_2012Metric","131.110000","-108.300000","-90.000000","top"
"R2","100k","R_0805_2012Metric","133.650000","-108.300000","-90.000000","top"
"R3","100k","R_0805_2012Metric","136.190000","-108.300000","-90.000000","top"
"R4","100k","R_0805_2012Metric","138.730000","-108.300000","-90.000000","top"
"R5","100k","R_0805_2012Metric","141.270000","-108.300000","-90.000000","top"
"R6","100k","R_0805_2012Metric","143.810000","-108.300000","-90.000000","top"
"R7","100k","R_0805_2012Metric","146.350000","-108.300000","-90.000000","top"
"R8","100k","R_0805_2012Metric","148.890000","-108.300000","-90.000000","top"
"R9","10k","R_0805_2012Metric","130.000000","-130.500000","0.000000","top"
"R11","100k","R_0805_2012Metric","132.380000","-112.300000","-90.000000","top"
"R12","100k","R_0805_2012Metric","134.920000","-112.300000","-90.000000","top"
"R13","100k","R_0805_2012Metric","137.460000","-112.300000","-90.000000","top"
"R14","100k","R_0805_2012Metric","140.000000","-112.300000","-90.000000","top"
"R15","100k","R_0805_2012Metric","142.540000","-112.300000","-90.000000","top"
"R16","100k","R_0805_2012Metric","145.080000","-112.300000","-90.000000","top"
"R17","100k","R_0805_2012Metric","147.620000","-112.300000","-90.000000","top"
"R18","100k","R_0805_2012Metric","150.160000","-112.300000","-90.000000","top"
"U1","74HC165","SOIC-16_3.9x9.9mm_P1.27mm","140.000000","-128.000000","0.000000","top"
"U2","74LVC1G125","SOT-23-5","152.000000","-130.500000","180.000000","top"
