"Comment","Designator","Footprint","LCSC Part #"
"100n","C1,C2,C3,C4,C5,C6,C7,C8,C11,C12,C13,C14,C15,C16,C17,C18,C21,C22,C23","C_0805_2012Metric","C49678"
"10u","C31,C32,C33,C34,C35","CP_Elec_4x5.3","C3343"
"BUS (kabel, 2x12)","J1","PinSocket_2x12_P2.54mm_Vertical","C22373917"
"IN/OUT","JIN1,JIN2,JIN3,JIN4,JIN5,JIN6,JIN7,JIN8,JOUT1,JOUT2,JOUT3,JOUT4,JOUT5,JOUT6,JOUT7,JOUT8,JOUT9,JOUT10,JOUT11,JOUT12,JOUT13,JOUT14,JOUT15,JOUT16","PinHeader_1x10_P2.54mm_Vertical","C19190976"
"MT8816AE","U1,U2,U3,U4,U5,U6,U7,U8","DIP-40_W15.24mm","C72123"
"74AHCT595","U9,U10","SOIC-16_3.9x9.9mm_P1.27mm","C126402"
"L7806","U11","TO-220-3_Vertical",""
"L7906","U12","TO-220-3_Vertical",""
"78L05","U13","TO-92_Inline",""
"74HC238","U14","SOIC-16_3.9x9.9mm_P1.27mm","C5620"
