"Designator","Val","Package","Mid X","Mid Y","Rotation","Layer"
"C1","100n","C_0805_2012Metric","106.240000","-41.000000","0.000000","top"
"C2","100n","C_0805_2012Metric","131.640000","-41.000000","0.000000","top"
"C3","100n","C_0805_2012Metric","162.140000","-41.000000","0.000000","top"
"C4","100n","C_0805_2012Metric","187.740000","-41.000000","0.000000","top"
"C5","100n","C_0805_2012Metric","106.240000","-109.700000","0.000000","top"
"C6","100n","C_0805_2012Metric","131.640000","-109.700000","0.000000","top"
"C7","100n","C_0805_2012Metric","162.140000","-109.700000","0.000000","top"
"C8","100n","C_0805_2012Metric","187.740000","-109.700000","0.000000","top"
"C11","100n","C_0805_2012Metric","91.000000","-96.200000","0.000000","top"
"C12","100n","C_0805_2012Metric","116.400000","-96.200000","0.000000","top"
"C13","100n","C_0805_2012Metric","146.900000","-96.200000","0.000000","top"
"C14","100n","C_0805_2012Metric","172.500000","-96.200000","0.000000","top"
"C15","100n","C_0805_2012Metric","91.000000","-165.800000","0.000000","top"
"C16","100n","C_0805_2012Metric","116.400000","-165.800000","0.000000","top"
"C17","100n","C_0805_2012Metric","146.900000","-165.800000","0.000000","top"
"C18","100n","C_0805_2012Metric","172.500000","-165.800000","0.000000","top"
"C21","100n","C_0805_2012Metric","71.500000","-85.000000","0.000000","top"
"C22","100n","C_0805_2012Metric","71.500000","-115.000000","0.000000","top"
"C23","100n","C_0805_2012Metric","71.500000","-100.000000","0.000000","top"
"C31","10u","CP_Elec_4x5.3","66.000000","-130.000000","0.000000","top"
"C32","10u","CP_Elec_4x5.3","74.000000","-130.000000","0.000000","top"
"C33","10u","CP_Elec_4x5.3","66.000000","-140.000000","0.000000","top"
"C34","10u","CP_Elec_4x5.3","74.000000","-140.000000","0.000000","top"
"C35","10u","CP_Elec_4x5.3","66.000000","-150.000000","0.000000","top"
"J1","BUS","PinSocket_2x12_P2.54mm_Vertical","52.000000","-42.000000","0.000000","top"
"JIN1","IN1","PinHeader_1x10_P2.54mm_Vertical","86.000000","-99.400000","90.000000","top"
"JIN2","IN2","PinHeader_1x10_P2.54mm_Vertical","112.600000","-99.400000","90.000000","top"
"JIN3","IN3","PinHeader_1x10_P2.54mm_Vertical","142.400000","-99.400000","90.000000","top"
"JIN4","IN4","PinHeader_1x10_P2.54mm_Vertical","169.000000","-99.400000","90.000000","top"
"JIN5","IN5","PinHeader_1x10_P2.54mm_Vertical","86.000000","-105.600000","90.000000","top"
"JIN6","IN6","PinHeader_1x10_P2.54mm_Vertical","112.600000","-105.600000","90.000000","top"
"JIN7","IN7","PinHeader_1x10_P2.54mm_Vertical","142.400000","-105.600000","90.000000","top"
"JIN8","IN8","PinHeader_1x10_P2.54mm_Vertical","169.000000","-105.600000","90.000000","top"
"JOUT1","OUT1","PinHeader_1x10_P2.54mm_Vertical","111.300000","-40.000000","0.000000","top"
"JOUT2","OUT2","PinHeader_1x10_P2.54mm_Vertical","111.300000","-66.400000","0.000000","top"
"JOUT3","OUT3","PinHeader_1x10_P2.54mm_Vertical","111.300000","-112.000000","0.000000","top"
"JOUT4","OUT4","PinHeader_1x10_P2.54mm_Vertical","111.300000","-138.400000","0.000000","top"
"JOUT5","OUT5","PinHeader_1x10_P2.54mm_Vertical","136.700000","-40.000000","0.000000","top"
"JOUT6","OUT6","PinHeader_1x10_P2.54mm_Vertical","136.700000","-66.400000","0.000000","top"
"JOUT7","OUT7","PinHeader_1x10_P2.54mm_Vertical","136.700000","-112.000000","0.000000","top"
"JOUT8","OUT8","PinHeader_1x10_P2.54mm_Vertical","136.700000","-138.400000","0.000000","top"
"JOUT9","OUT9","PinHeader_1x10_P2.54mm_Vertical","141.800000","-40.000000","0.000000","top"
"JOUT10","OUT10","PinHeader_1x10_P2.54mm_Vertical","141.800000","-66.400000","0.000000","top"
"JOUT11","OUT11","PinHeader_1x10_P2.54mm_Vertical","141.800000","-112.000000","0.000000","top"
"JOUT12","OUT12","PinHeader_1x10_P2.54mm_Vertical","141.800000","-138.400000","0.000000","top"
"JOUT13","OUT13","PinHeader_1x10_P2.54mm_Vertical","167.400000","-40.000000","0.000000","top"
"JOUT14","OUT14","PinHeader_1x10_P2.54mm_Vertical","167.400000","-66.400000","0.000000","top"
"JOUT15","OUT15","PinHeader_1x10_P2.54mm_Vertical","167.400000","-112.000000","0.000000","top"
"JOUT16","OUT16","PinHeader_1x10_P2.54mm_Vertical","167.400000","-138.400000","0.000000","top"
"U1","MT8816AE","DIP-40_W15.24mm","91.000000","-45.000000","0.000000","top"
"U2","MT8816AE","DIP-40_W15.24mm","116.400000","-45.000000","0.000000","top"
"U3","MT8816AE","DIP-40_W15.24mm","146.900000","-45.000000","0.000000","top"
"U4","MT8816AE","DIP-40_W15.24mm","172.500000","-45.000000","0.000000","top"
"U5","MT8816AE","DIP-40_W15.24mm","91.000000","-113.500000","0.000000","top"
"U6","MT8816AE","DIP-40_W15.24mm","116.400000","-113.500000","0.000000","top"
"U7","MT8816AE","DIP-40_W15.24mm","146.900000","-113.500000","0.000000","top"
"U8","MT8816AE","DIP-40_W15.24mm","172.500000","-113.500000","0.000000","top"
"U9","74AHCT595","SOIC-16_3.9x9.9mm_P1.27mm","64.000000","-85.000000","270.000000","top"
"U10","74AHCT595","SOIC-16_3.9x9.9mm_P1.27mm","64.000000","-115.000000","270.000000","top"
"U11","L7806","TO-220-3_Vertical","52.000000","-130.000000","0.000000","top"
"U12","L7906","TO-220-3_Vertical","52.000000","-141.000000","0.000000","top"
"U13","78L05","TO-92_Inline","52.000000","-150.000000","0.000000","top"
"U14","74HC238","SOIC-16_3.9x9.9mm_P1.27mm","64.000000","-100.000000","270.000000","top"
