"Designator","Val","Package","Mid X","Mid Y","Rotation","Layer"
"C1","100n","C_0805_2012Metric","73.200000","-41.000000","0.000000","top"
"C2","100n","C_0805_2012Metric","98.900000","-41.000000","0.000000","top"
"C3","100n","C_0805_2012Metric","73.200000","-101.000000","0.000000","top"
"C4","100n","C_0805_2012Metric","98.900000","-101.000000","0.000000","top"
"C5","100n","C_0805_2012Metric","175.300000","-41.000000","0.000000","top"
"C6","100n","C_0805_2012Metric","201.000000","-41.000000","0.000000","top"
"C7","100n","C_0805_2012Metric","175.300000","-101.000000","0.000000","top"
"C8","100n","C_0805_2012Metric","201.000000","-101.000000","0.000000","top"
"C11","100n","C_0805_2012Metric","58.000000","-97.500000","0.000000","top"
"C12","100n","C_0805_2012Metric","83.700000","-97.500000","0.000000","top"
"C13","100n","C_0805_2012Metric","58.000000","-158.000000","0.000000","top"
"C14","100n","C_0805_2012Metric","83.700000","-158.000000","0.000000","top"
"C15","100n","C_0805_2012Metric","160.100000","-97.500000","0.000000","top"
"C16","100n","C_0805_2012Metric","185.800000","-97.500000","0.000000","top"
"C17","100n","C_0805_2012Metric","160.100000","-158.000000","0.000000","top"
"C18","100n","C_0805_2012Metric","185.800000","-158.000000","0.000000","top"
"C21","100n","C_0805_2012Metric","120.000000","-90.500000","0.000000","top"
"C22","100n","C_0805_2012Metric","139.000000","-90.500000","0.000000","top"
"C23","100n","C_0805_2012Metric","129.500000","-90.500000","0.000000","top"
"C31","10u","CP_Elec_4x5.3","120.000000","-130.000000","0.000000","top"
"C32","10u","CP_Elec_4x5.3","139.000000","-130.000000","0.000000","top"
"C33","10u","CP_Elec_4x5.3","120.000000","-140.000000","0.000000","top"
"C34","10u","CP_Elec_4x5.3","139.000000","-140.000000","0.000000","top"
"C35","10u","CP_Elec_4x5.3","129.500000","-148.000000","0.000000","top"
"J1","BUS","PinSocket_2x12_P2.54mm_Vertical","129.000000","-42.000000","0.000000","top"
"JIN1","IN1","PinHeader_1x10_P2.54mm_Vertical","52.000000","-32.000000","90.000000","top"
"JIN2","IN2","PinHeader_1x10_P2.54mm_Vertical","80.000000","-32.000000","90.000000","top"
"JIN3","IN3","PinHeader_1x10_P2.54mm_Vertical","156.100000","-32.000000","90.000000","top"
"JIN4","IN4","PinHeader_1x10_P2.54mm_Vertical","184.100000","-32.000000","90.000000","top"
"JIN5","IN5","PinHeader_1x10_P2.54mm_Vertical","52.000000","-162.000000","90.000000","top"
"JIN6","IN6","PinHeader_1x10_P2.54mm_Vertical","80.000000","-162.000000","90.000000","top"
"JIN7","IN7","PinHeader_1x10_P2.54mm_Vertical","156.100000","-162.000000","90.000000","top"
"JIN8","IN8","PinHeader_1x10_P2.54mm_Vertical","184.100000","-162.000000","90.000000","top"
"JOUT1","OUT1","PinHeader_1x10_P2.54mm_Vertical","78.500000","-38.000000","0.000000","top"
"JOUT2","OUT2","PinHeader_1x10_P2.54mm_Vertical","78.500000","-68.000000","0.000000","top"
"JOUT3","OUT3","PinHeader_1x10_P2.54mm_Vertical","78.500000","-98.000000","0.000000","top"
"JOUT4","OUT4","PinHeader_1x10_P2.54mm_Vertical","78.500000","-128.000000","0.000000","top"
"JOUT5","OUT5","PinHeader_1x10_P2.54mm_Vertical","48.000000","-38.000000","0.000000","top"
"JOUT6","OUT6","PinHeader_1x10_P2.54mm_Vertical","48.000000","-68.000000","0.000000","top"
"JOUT7","OUT7","PinHeader_1x10_P2.54mm_Vertical","48.000000","-98.000000","0.000000","top"
"JOUT8","OUT8","PinHeader_1x10_P2.54mm_Vertical","48.000000","-128.000000","0.000000","top"
"JOUT9","OUT9","PinHeader_1x10_P2.54mm_Vertical","180.500000","-38.000000","0.000000","top"
"JOUT10","OUT10","PinHeader_1x10_P2.54mm_Vertical","180.500000","-68.000000","0.000000","top"
"JOUT11","OUT11","PinHeader_1x10_P2.54mm_Vertical","180.500000","-98.000000","0.000000","top"
"JOUT12","OUT12","PinHeader_1x10_P2.54mm_Vertical","180.500000","-128.000000","0.000000","top"
"JOUT13","OUT13","PinHeader_1x10_P2.54mm_Vertical","211.000000","-38.000000","0.000000","top"
"JOUT14","OUT14","PinHeader_1x10_P2.54mm_Vertical","211.000000","-68.000000","0.000000","top"
"JOUT15","OUT15","PinHeader_1x10_P2.54mm_Vertical","211.000000","-98.000000","0.000000","top"
"JOUT16","OUT16","PinHeader_1x10_P2.54mm_Vertical","211.000000","-128.000000","0.000000","top"
"U1","MT8816AE","DIP-40_W15.24mm","58.000000","-45.000000","0.000000","top"
"U2","MT8816AE","DIP-40_W15.24mm","83.700000","-45.000000","0.000000","top"
