"Designator","Val","Package","Mid X","Mid Y","Rotation","Layer"
"C1","100n","C_0805_2012Metric","131.110000","-113.500000","-90.000000","top"
"C2","100n","C_0805_2012Metric","133.650000","-113.500000","-90.000000","top"
"C3","100n","C_0805_2012Metric","136.190000","-113.500000","-90.000000","top"
"C4","100n","C_0805_2012Metric","138.730000","-113.500000","-90.000000","top"
"C5","100n","C_0805_2012Metric","141.270000","-113.500000","-90.000000","top"
"C6","100n","C_0805_2012Metric","143.810000","-113.500000","-90.000000","top"
"C7","100n","C_0805_2012Metric","146.350000","-113.500000","-90.000000","top"
"C8","100n","C_0805_2012Metric","148.890000","-113.500000","-90.000000","top"
"C9","100n","C_0805_2012Metric","122.000000","-126.000000","90.000000","top"
"J1","BUS","PinHeader_2x12_P2.54mm_Horizontal","153.970000","-138.420000","-90.000000","top"
"J2","NAAR FRONT","PinHeader_1x10_P2.54mm_Horizontal","128.570000","-104.040000","90.000000","top"
"U1","MCP3208","SOIC-16_3.9x9.9mm_P1.27mm","140.000000","-126.000000","180.000000","top"
