"Comment","Designator","Footprint","LCSC Part #"
"1n2","C11,C12,C13,C14,C15,C16,C17,C18","C_0805_2012Metric","C2176739"
"100p","C21,C22,C23,C24,C25,C26,C27,C28","C_0805_2012Metric","C1790"
"4u7","C31,C32,C33,C34,C35,C36,C37,C38","C_0805_2012Metric","C1779"
"100n","C41,C42,C43,C44,C45,C46,C47,C48,C49,C50","C_0805_2012Metric","C49678"
"10u","C61,C62,C63","CP_Elec_4x5.3","C3343"
"BUS (slot, 2x12)","J1","PinHeader_2x12_P2.54mm_Horizontal","C2894992"
"AUDIO IN/AUDIO UIT","J2,J3","PinHeader_1x10_P2.54mm_Horizontal","C2687688"
"20k","R1,R2,R3,R4,R5,R6,R7,R8,R21,R22,R23,R24,R25,R26,R27,R28","R_0805_2012Metric","C4328"
"220R","R11,R12,R13,R14,R15,R16,R17,R18,R31,R32,R33,R34,R35,R36,R37,R38","R_0805_2012Metric","C17557"
"100R","R41,R42,R43,R44,R45,R46,R47,R48","R_0805_2012Metric","C17408"
"SSI2164","U1,U2","SOIC-16_3.9x9.9mm_P1.27mm",""
"TL074","U3,U4","SOIC-14_3.9x8.7mm_P1.27mm","C12594"
"DAC128S085CIMTX","U5","TSSOP-16_4.4x5mm_P0.65mm","C882851"
