"Designator","Val","Package","Mid X","Mid Y","Rotation","Layer"
"C11","1n2","C_0805_2012Metric","111.600000","-109.200000","-90.000000","top"
"C12","1n2","C_0805_2012Metric","111.600000","-112.750000","-90.000000","top"
"C13","1n2","C_0805_2012Metric","111.600000","-116.300000","-90.000000","top"
"C14","1n2","C_0805_2012Metric","111.600000","-119.850000","-90.000000","top"
"C15","1n2","C_0805_2012Metric","111.600000","-123.400000","-90.000000","top"
"C16","1n2","C_0805_2012Metric","111.600000","-126.950000","-90.000000","top"
"C17","1n2","C_0805_2012Metric","111.600000","-130.500000","-90.000000","top"
"C18","1n2","C_0805_2012Metric","111.600000","-134.050000","-90.000000","top"
"C21","100p","C_0805_2012Metric","126.700000","-109.200000","-90.000000","top"
"C22","100p","C_0805_2012Metric","126.700000","-112.750000","-90.000000","top"
"C23","100p","C_0805_2012Metric","126.700000","-116.300000","-90.000000","top"
"C24","100p","C_0805_2012Metric","126.700000","-119.850000","-90.000000","top"
"C25","100p","C_0805_2012Metric","126.700000","-123.400000","-90.000000","top"
"C26","100p","C_0805_2012Metric","126.700000","-126.950000","-90.000000","top"
"C27","100p","C_0805_2012Metric","126.700000","-130.500000","-90.000000","top"
"C28","100p","C_0805_2012Metric","126.700000","-134.050000","-90.000000","top"
"C31","4u7","C_0805_2012Metric","156.100000","-109.200000","-90.000000","top"
"C32","4u7","C_0805_2012Metric","156.100000","-112.750000","-90.000000","top"
"C33","4u7","C_0805_2012Metric","156.100000","-116.300000","-90.000000","top"
"C34","4u7","C_0805_2012Metric","156.100000","-119.850000","-90.000000","top"
"C35","4u7","C_0805_2012Metric","156.100000","-123.400000","-90.000000","top"
"C36","4u7","C_0805_2012Metric","156.100000","-126.950000","-90.000000","top"
"C37","4u7","C_0805_2012Metric","156.100000","-130.500000","-90.000000","top"
"C38","4u7","C_0805_2012Metric","156.100000","-134.050000","-90.000000","top"
"C41","100n","C_0805_2012Metric","115.300000","-119.700000","0.000000","top"
"C42","100n","C_0805_2012Metric","119.300000","-119.700000","0.000000","top"
"C43","100n","C_0805_2012Metric","115.300000","-134.200000","0.000000","top"
"C44","100n","C_0805_2012Metric","119.300000","-134.200000","0.000000","top"
"C45","100n","C_0805_2012Metric","139.700000","-111.000000","-90.000000","top"
"C46","100n","C_0805_2012Metric","139.700000","-114.550000","-90.000000","top"
"C47","100n","C_0805_2012Metric","139.700000","-118.100000","-90.000000","top"
"C48","100n","C_0805_2012Metric","139.700000","-121.650000","-90.000000","top"
"C49","100n","C_0805_2012Metric","142.200000","-116.150000","-90.000000","top"
"C50","100n","C_0805_2012Metric","142.200000","-123.250000","-90.000000","top"
"C61","10u","CP_Elec_4x5.3","170.000000","-110.000000","0.000000","top"
"C62","10u","CP_Elec_4x5.3","170.000000","-117.500000","0.000000","top"
"C63","10u","CP_Elec_4x5.3","170.000000","-125.000000","0.000000","top"
"J1","BUS","PinHeader_2x12_P2.54mm_Horizontal","153.970000","-138.420000","-90.000000","top"
"J2","IN","PinHeader_1x10_P2.54mm_Horizontal","114.970000","-104.040000","90.000000","top"
"J3","UIT","PinHeader_1x10_P2.54mm_Horizontal","142.170000","-104.040000","90.000000","top"
"R1","20k","R_0805_2012Metric","106.000000","-109.200000","-90.000000","top"
"R2","20k","R_0805_2012Metric","106.000000","-112.750000","-90.000000","top"
"R3","20k","R_0805_2012Metric","106.000000","-116.300000","-90.000000","top"
"R4","20k","R_0805_2012Metric","106.000000","-119.850000","-90.000000","top"
"R5","20k","R_0805_2012Metric","106.000000","-123.400000","-90.000000","top"
"R6","20k","R_0805_2012Metric","106.000000","-126.950000","-90.000000","top"
"R7","20k","R_0805_2012Metric","106.000000","-130.500000","-90.000000","top"
"R8","20k","R_0805_2012Metric","106.000000","-134.050000","-90.000000","top"
"R11","220R","R_0805_2012Metric","108.800000","-109.200000","-90.000000","top"
"R12","220R","R_0805_2012Metric","108.800000","-112.750000","-90.000000","top"
"R13","220R","R_0805_2012Metric","108.800000","-116.300000","-90.000000","top"
"R14","220R","R_0805_2012Metric","108.800000","-119.850000","-90.000000","top"
"R15","220R","R_0805_2012Metric","108.800000","-123.400000","-90.000000","top"
"R16","220R","R_0805_2012Metric","108.800000","-126.950000","-90.000000","top"
"R17","220R","R_0805_2012Metric","108.800000","-130.500000","-90.000000","top"
"R18","220R","R_0805_2012Metric","108.800000","-134.050000","-90.000000","top"
"R21","20k","R_0805_2012Metric","123.900000","-109.200000","-90.000000","top"
"R22","20k","R_0805_2012Metric","123.900000","-112.750000","-90.000000","top"
"R23","20k","R_0805_2012Metric","123.900000","-116.300000","-90.000000","top"
"R24","20k","R_0805_2012Metric","123.900000","-119.850000","-90.000000","top"
"R25","20k","R_0805_2012Metric","123.900000","-123.400000","-90.000000","top"
"R26","20k","R_0805_2012Metric","123.900000","-126.950000","-90.000000","top"
"R27","20k","R_0805_2012Metric","123.900000","-130.500000","-90.000000","top"
"R28","20k","R_0805_2012Metric","123.900000","-134.050000","-90.000000","top"
"R31","220R","R_0805_2012Metric","158.900000","-109.200000","-90.000000","top"
"R32","220R","R_0805_2012Metric","158.900000","-112.750000","-90.000000","top"
"R33","220R","R_0805_2012Metric","158.900000","-116.300000","-90.000000","top"
"R34","220R","R_0805_2012Metric","158.900000","-119.850000","-90.000000","top"
"R35","220R","R_0805_2012Metric","158.900000","-123.400000","-90.000000","top"
"R36","220R","R_0805_2012Metric","158.900000","-126.950000","-90.000000","top"
"R37","220R","R_0805_2012Metric","158.900000","-130.500000","-90.000000","top"
"R38","220R","R_0805_2012Metric","158.900000","-134.050000","-90.000000","top"
"R41","100R","R_0805_2012Metric","153.300000","-109.200000","-90.000000","top"
"R42","100R","R_0805_2012Metric","153.300000","-112.750000","-90.000000","top"
"R43","100R","R_0805_2012Metric","153.300000","-116.300000","-90.000000","top"
"R44","100R","R_0805_2012Metric","153.300000","-119.850000","-90.000000","top"
"R45","100R","R_0805_2012Metric","153.300000","-123.400000","-90.000000","top"
"R46","100R","R_0805_2012Metric","153.300000","-126.950000","-90.000000","top"
"R47","100R","R_0805_2012Metric","153.300000","-130.500000","-90.000000","top"
"R48","100R","R_0805_2012Metric","153.300000","-134.050000","-90.000000","top"
"U1","SSI2164","SOIC-16_3.9x9.9mm_P1.27mm","117.300000","-112.500000","270.000000","top"
"U2","SSI2164","SOIC-16_3.9x9.9mm_P1.27mm","117.300000","-127.000000","270.000000","top"
"U3","TL074","SOIC-14_3.9x8.7mm_P1.27mm","133.300000","-112.500000","270.000000","top"
"U4","TL074","SOIC-14_3.9x8.7mm_P1.27mm","133.300000","-126.500000","270.000000","top"
"U5","DAC128S085CIMTX","TSSOP-16_4.4x5mm_P0.65mm","147.500000","-119.700000","270.000000","top"
