"Designator","Val","Package","Mid X","Mid Y","Rotation","Layer"
"J1","BUS","PinHeader_2x12_P2.54mm_Vertical","118.760000","-106.000000","90.000000","top"
"J2","KERNSLOT","PinSocket_2x12_P2.54mm_Vertical","118.760000","-152.000000","90.000000","top"
"JP1","MODE0","PinHeader_1x03_P2.54mm_Vertical","110.000000","-122.000000","90.000000","top"
"JP2","MODE1","PinHeader_1x03_P2.54mm_Vertical","123.000000","-122.000000","90.000000","top"
"JP3","MODE2","PinHeader_1x03_P2.54mm_Vertical","136.000000","-122.000000","90.000000","top"
"JP4","TSEL0","PinHeader_1x03_P2.54mm_Vertical","149.000000","-122.000000","90.000000","top"
"JP5","TSEL1","PinHeader_1x03_P2.54mm_Vertical","110.000000","-131.000000","90.000000","top"
"JP6","TSEL2","PinHeader_1x03_P2.54mm_Vertical","123.000000","-131.000000","90.000000","top"
"JP7","TEN","PinHeader_1x03_P2.54mm_Vertical","136.000000","-131.000000","90.000000","top"
"JP8","FMCV","PinHeader_1x03_P2.54mm_Vertical","149.000000","-131.000000","90.000000","top"
"R1","4k7","R_0603_1608Metric","158.000000","-122.000000","0.000000","top"
"TP1","TOUT","PinHeader_1x01_P2.54mm_Vertical","158.000000","-128.000000","0.000000","top"
"TP2","SDO2","PinHeader_1x01_P2.54mm_Vertical","158.000000","-134.000000","0.000000","top"
