"Comment","Designator","Footprint","LCSC Part #"
"1n","C101,C102,C103,C104,C201,C202,C203,C204,C301,C302,C303,C304,C401,C402,C403,C404,C501,C502,C503,C504,C601,C602,C603,C604,C701,C702,C703,C704,C801,C802,C803,C804","C_0603_1608Metric",""
"100n","C105,C106,C107,C205,C206,C207,C305,C306,C307,C405,C406,C407,C505,C506,C507,C605,C606,C607,C705,C706,C707,C805,C806,C807,C901,C902,C903,C904,C905,C906,C907,C908,C909,C916,C917,C920,C921,C922,C923,C924,C925,C926,C927,C928,C929","C_0603_1608Metric",""
"10u","C911,C912,C913,C914","CP_Elec_4x5.3","C3343"
"10n","C915","C_0603_1608Metric",""
"KERNSLOT (2x12)","J1","",""
"AUDIO IN","J2","",""
"AUDIO UIT","J3","",""
"2N7002","Q1","SOT-23",""
"15k","R101,R102,R103,R104,R105,R106,R107,R108,R121,R201,R202,R203,R204,R205,R206,R207,R208,R221,R301,R302,R303,R304,R305,R306,R307,R308,R321,R401,R402,R403,R404,R405,R406,R407,R408,R421,R501,R502,R503,R504,R505,R506,R507,R508,R521,R601,R602,R603,R604,R605,R606,R607,R608,R621,R701,R702,R703,R704,R705,R706,R707,R708,R721,R801,R802,R803,R804,R805,R806,R807,R808,R821","R_0603_1608Metric",""
"200R","R109,R110,R111,R112,R209,R210,R211,R212,R309,R310,R311,R312,R409,R410,R411,R412,R509,R510,R511,R512,R609,R610,R611,R612,R709,R710,R711,R712,R809,R810,R811,R812","R_0603_1608Metric",""
"54.9k","R113,R213,R313,R413,R513,R613,R713,R813","R_0603_1608Metric",""
"1k","R114,R118,R214,R218,R314,R318,R414,R418,R514,R518,R614,R618,R714,R718,R814,R818","R_0603_1608Metric",""
"100k","R115,R215,R315,R415,R515,R615,R715,R815","R_0603_1608Metric",""
"13k","R116,R216,R316,R416,R516,R616,R716,R816","R_0603_1608Metric",""
"16.2k","R117,R217,R317,R417,R517,R617,R717,R817","R_0603_1608Metric",""
"75k","R119,R130,R131,R132,R133,R134,R136,R137,R138,R139,R141,R142,R219,R230,R231,R232,R233,R234,R236,R237,R238,R239,R241,R242,R319,R330,R331,R332,R333,R334,R336,R337,R338,R339,R341,R342,R419,R430,R431,R432,R433,R434,R436,R437,R438,R439,R441,R442,R519,R530,R531,R532,R533,R534,R536,R537,R538,R539,R541,R542,R619,R630,R631,R632,R633,R634,R636,R637,R638,R639,R641,R642,R719,R730,R731,R732,R733,R734,R736,R737,R738,R739,R741,R742,R819,R830,R831,R832,R833,R834,R836,R837,R838,R839,R841,R842","R_0603_1608Metric",""
"18.7k","R120,R220,R320,R420,R520,R620,R720,R820","R_0603_1608Metric",""
"60.4k","R122,R222,R322,R422,R522,R622,R722,R822","R_0603_1608Metric",""
"37.4k","R135,R140,R143,R144,R235,R240,R243,R244,R335,R340,R343,R344,R435,R440,R443,R444,R535,R540,R543,R544,R635,R640,R643,R644,R735,R740,R743,R744,R835,R840,R843,R844","R_0603_1608Metric",""
"10k","R901","R_0603_1608Metric",""
"1M","R902,R903","R_0603_1608Metric",""
"SSI2140","U1,U2,U3,U4,U5,U6,U7,U8","SSOP-20_3.9x8.7mm_P0.635mm",""
"74HC4051","U11,U12,U13,U14,U15,U16,U17,U18,U35","TSSOP-16_4.4x5mm_P0.65mm",""
"TL074","U21,U22,U23,U24,U25","TSSOP-14_4.4x5mm_P0.65mm","C12594"
"AD5754BREZ","U31,U32","HTSSOP-24-1EP_4.4x7.8mm_P0.65mm_EP3.2x5mm","C650230"
"ADR421","U33","SOIC-8_3.9x4.9mm_P1.27mm","C29739"
"DAC128S085CIMTX","U34","TSSOP-16_4.4x5mm_P0.65mm","C882851"
"LM311","U36","SOIC-8_3.9x4.9mm_P1.27mm",""
