"Designator","Val","Package","Mid X","Mid Y","Rotation","Layer"
"C105","100n","C_0603_1608Metric","110.300000","-141.400000","0.000000","bottom"
"C106","100n","C_0603_1608Metric","113.700000","-141.400000","0.000000","bottom"
"C107","100n","C_0603_1608Metric","110.300000","-143.100000","0.000000","bottom"
"C205","100n","C_0603_1608Metric","110.300000","-148.200000","0.000000","bottom"
"C206","100n","C_0603_1608Metric","113.700000","-148.200000","0.000000","bottom"
"C207","100n","C_0603_1608Metric","110.300000","-149.900000","0.000000","bottom"
"C305","100n","C_0603_1608Metric","133.300000","-141.400000","0.000000","bottom"
"C306","100n","C_0603_1608Metric","136.700000","-141.400000","0.000000","bottom"
"C307","100n","C_0603_1608Metric","133.300000","-143.100000","0.000000","bottom"
"C405","100n","C_0603_1608Metric","133.300000","-148.200000","0.000000","bottom"
"C406","100n","C_0603_1608Metric","136.700000","-148.200000","0.000000","bottom"
"C407","100n","C_0603_1608Metric","133.300000","-149.900000","0.000000","bottom"
"C505","100n","C_0603_1608Metric","173.300000","-141.400000","0.000000","bottom"
"C506","100n","C_0603_1608Metric","176.700000","-141.400000","0.000000","bottom"
"C507","100n","C_0603_1608Metric","173.300000","-143.100000","0.000000","bottom"
"C605","100n","C_0603_1608Metric","173.300000","-148.200000","0.000000","bottom"
"C606","100n","C_0603_1608Metric","176.700000","-148.200000","0.000000","bottom"
"C607","100n","C_0603_1608Metric","173.300000","-149.900000","0.000000","bottom"
"C705","100n","C_0603_1608Metric","196.300000","-141.400000","0.000000","bottom"
"C706","100n","C_0603_1608Metric","199.700000","-141.400000","0.000000","bottom"
"C707","100n","C_0603_1608Metric","196.300000","-143.100000","0.000000","bottom"
"C805","100n","C_0603_1608Metric","196.300000","-148.200000","0.000000","bottom"
"C806","100n","C_0603_1608Metric","199.700000","-148.200000","0.000000","bottom"
"C807","100n","C_0603_1608Metric","196.300000","-149.900000","0.000000","bottom"
"C901","100n","C_0603_1608Metric","153.700000","-140.800000","0.000000","bottom"
"C902","100n","C_0603_1608Metric","153.700000","-138.600000","0.000000","bottom"
"C903","100n","C_0603_1608Metric","157.400000","-140.800000","0.000000","bottom"
"C904","100n","C_0603_1608Metric","157.400000","-138.600000","0.000000","bottom"
"C905","100n","C_0603_1608Metric","153.700000","-143.000000","0.000000","bottom"
"C906","100n","C_0603_1608Metric","153.700000","-136.400000","0.000000","bottom"
"C907","100n","C_0603_1608Metric","157.400000","-143.000000","0.000000","bottom"
"C908","100n","C_0603_1608Metric","157.400000","-136.400000","0.000000","bottom"
"C909","100n","C_0603_1608Metric","150.000000","-140.800000","0.000000","bottom"
"C916","100n","C_0603_1608Metric","150.000000","-138.600000","0.000000","bottom"
"C917","100n","C_0603_1608Metric","153.700000","-145.200000","0.000000","bottom"
"C920","100n","C_0603_1608Metric","157.400000","-145.200000","0.000000","bottom"
"C921","100n","C_0603_1608Metric","150.000000","-143.000000","0.000000","bottom"
